Bandwidth_GB_Year,MonthlyCharge,Tenure,StreamingMovies,Contract_Month-to-month,StreamingTV,Contract_OneYear,Multiple,InternetService_DSL,Techie,InternetService_FiberOptic,DeviceProtection,OnlineBackup,PaymentMethod_ElectronicCheck,Gender_Male,Gender_Female,Phone,Churn
904.5361102,172.455519,6.795512947,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0
800.9827661,242.632554,1.156680997,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1
2054.706961,159.947583,15.75414408,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0
2164.579412,119.95684,17.08722662,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0
271.4934362,149.948316,1.670971726,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1
1039.357983,185.007692,7.000993555,1,0,0,1,1,0,0,0,1,1,1,0,1,1,0
1907.242972,200.118516,13.23677381,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1
979.6127078,114.950905,4.26425515,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1
1312.874964,117.468591,8.220686373,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
508.7637913,162.482694,3.422086139,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0
2728.767869,174.958118,19.26726194,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0
1180.588788,149.962093,10.52199781,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0
1196.388018,137.439154,13.01149229,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0
1948.694497,184.971516,16.87922024,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0
1582.295235,159.965581,10.06019902,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1
1840.014467,177.65076,13.87001293,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1
2070.376729,194.966286,15.78214958,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1
882.0985933,202.682861,2.303331273,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1
1833.0967,152.490739,17.10995632,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0
1954.080809,149.944668,12.80615845,0,1,1,0,1,1,0,0,0,0,0,1,0,1,1
2330.319383,184.978458,20.45390977,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0
594.1054279,127.495766,2.415991977,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
713.0633088,124.964303,6.652298992,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0
945.3802928,149.948316,8.543717478,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0
870.76398,162.511928,5.770390256,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1
774.2937069,92.455141,4.157658837,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1
1506.446527,222.649979,10.40566091,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1
